date,CNY_US,JPY_US,GBP_US,US_EURO,
1/2/12,,,,,
1/3/12,6.294,76.67,1.5655,0.7656,
1/4/12,6.2941,76.68,1.5638,0.7734,
1/5/12,6.3013,77.18,1.548,0.7823,
1/6/12,6.3088,77.06,1.5431,0.786,
1/9/12,6.3143,76.88,1.5436,0.7846,
1/10/12,6.3141,76.84,1.5489,0.7824,
1/11/12,6.3149,76.9,1.5325,0.7883,
1/12/12,6.3177,76.76,1.5325,0.7802,
1/13/12,6.3065,76.9,1.5301,0.7885,
1/16/12,,,,,
1/17/12,6.3136,76.8,1.5356,0.7849,
1/18/12,6.3109,76.81,1.541,0.7797,
1/19/12,6.3162,77.23,1.5484,0.773,
1/20/12,6.333,76.97,1.554,0.7723,
1/23/12,6.333,76.92,1.5582,0.7672,
1/24/12,6.333,77.78,1.5595,0.769,
1/25/12,6.333,78.13,1.557,0.7705,
1/26/12,6.333,77.47,1.5706,0.7603,
1/27/12,6.333,76.68,1.5716,0.758,
1/30/12,6.331,76.28,1.569,0.762,
1/31/12,6.308,76.34,1.5754,0.7661,
2/1/12,6.3076,76.11,1.5849,0.7588,
2/2/12,6.3017,76.13,1.5813,0.7595,
2/3/12,6.3027,76.54,1.5779,0.763,
2/6/12,6.312,76.54,1.5832,0.7616,
2/7/12,6.3046,76.88,1.5891,0.7551,
2/8/12,6.2938,76.9,1.582,0.7545,
2/9/12,6.2947,77.42,1.5838,0.752,
2/10/12,6.2991,77.57,1.5748,0.7583,
2/13/12,6.2972,77.52,1.578,0.7569,
2/14/12,6.2995,78.39,1.5691,0.7605,
2/15/12,6.2998,78.22,1.571,0.7641,
2/16/12,6.3014,78.77,1.5795,0.7628,
2/17/12,6.2985,79.33,1.5813,0.7605,
2/20/12,,,,,
2/21/12,6.296,79.73,1.5796,0.7544,
2/22/12,6.296,80.3,1.5677,0.7547,
2/23/12,6.298,80.21,1.57,0.7514,
2/24/12,6.2976,80.88,1.5869,0.7428,
2/27/12,6.3012,80.42,1.5845,0.7457,
2/28/12,6.2989,80.44,1.5887,0.7434,
2/29/12,6.2935,81.1,1.5951,0.7486,
3/1/12,6.3001,81.16,1.5953,0.7508,
3/2/12,6.2982,81.56,1.5852,0.7575,
3/5/12,6.3066,81.43,1.587,0.7561,
3/6/12,6.3082,80.86,1.572,0.7625,
3/7/12,6.3097,81.06,1.5746,0.7605,
3/8/12,6.3159,81.5,1.5822,0.7544,
3/9/12,6.3109,82.59,1.5677,0.7629,
3/12/12,6.3258,82.21,1.5615,0.761,
3/13/12,6.3266,82.66,1.5736,0.7628,
3/14/12,6.3315,83.78,1.5686,0.7678,
3/15/12,6.3282,83.28,1.5669,0.7651,
3/16/12,6.3222,83.34,1.5845,0.7592,
3/19/12,6.3191,83.31,1.5894,0.7552,
3/20/12,6.3203,83.62,1.5857,0.7563,
3/21/12,6.3226,83.62,1.5848,0.7582,
3/22/12,6.299,82.5,1.5807,0.7579,
3/23/12,6.3021,82.35,1.5864,0.754,
3/26/12,6.3139,82.84,1.5939,0.7503,
3/27/12,6.3061,83.15,1.5972,0.7499,
3/28/12,6.3044,82.74,1.5855,0.7519,
3/29/12,6.3057,82.28,1.5911,0.7539,
3/30/12,6.2975,82.41,1.5985,0.75,
4/2/12,6.2979,82.16,1.6022,0.7505,
4/3/12,6.2975,82.18,1.5966,0.7498,
4/4/12,6.2975,82.62,1.5879,0.7618,
4/5/12,6.3123,82.33,1.5822,0.7655,
4/6/12,6.3052,81.56,1.5877,0.764,
4/9/12,6.31,81.36,1.5879,0.7641,
4/10/12,6.3105,80.94,1.5836,0.7652,
4/11/12,6.3076,80.88,1.5892,0.7631,
4/12/12,6.3069,80.87,1.5939,0.7592,
4/13/12,6.3022,80.99,1.5851,0.7644,
4/16/12,6.315,80.46,1.5865,0.7653,
4/17/12,6.3015,80.72,1.5931,0.762,
4/18/12,6.3026,81.29,1.602,0.7621,
4/19/12,6.3029,81.57,1.6058,0.7615,
4/20/12,6.308,81.6,1.6123,0.7569,
4/23/12,6.3084,81.16,1.6102,0.7617,
4/24/12,6.3073,81.21,1.6135,0.7572,
4/25/12,6.3039,81.33,1.6146,0.757,
4/26/12,6.3054,80.78,1.6188,0.7557,
