date,Federal Funds (Effective),TCMNOM_M6,TCMNOM_Y10,TCMNOM_Y1
1/2/12,,,,
1/3/12,0.07,0.06,1.97,0.12
1/4/12,0.07,0.06,2,0.12
1/5/12,0.07,0.07,2.02,0.11
1/6/12,0.07,0.05,1.98,0.12
1/9/12,0.08,0.05,1.98,0.11
1/10/12,0.08,0.05,2,0.11
1/11/12,0.08,0.05,1.93,0.11
1/12/12,0.08,0.06,1.94,0.11
1/13/12,0.09,0.06,1.89,0.1
1/16/12,,,,
1/17/12,0.09,0.06,1.87,0.11
1/18/12,0.09,0.07,1.92,0.11
1/19/12,0.1,0.07,2.01,0.11
1/20/12,0.09,0.07,2.05,0.11
1/23/12,0.09,0.07,2.09,0.12
1/24/12,0.09,0.07,2.08,0.12
1/25/12,0.08,0.07,2.01,0.12
1/26/12,0.08,0.08,1.96,0.12
1/27/12,0.09,0.08,1.93,0.12
1/30/12,0.09,0.08,1.87,0.12
1/31/12,0.11,0.08,1.83,0.13
2/1/12,0.11,0.09,1.87,0.13
2/2/12,0.11,0.1,1.86,0.14
2/3/12,0.11,0.1,1.97,0.14
2/6/12,0.11,0.1,1.93,0.14
2/7/12,0.11,0.11,2,0.14
2/8/12,0.11,0.11,2.01,0.15
2/9/12,0.11,0.12,2.04,0.15
2/10/12,0.12,0.12,1.96,0.15
2/13/12,0.12,0.14,1.99,0.15
2/14/12,0.12,0.15,1.92,0.18
2/15/12,0.12,0.13,1.93,0.18
2/16/12,0.11,0.13,1.99,0.17
2/17/12,0.09,0.13,2.01,0.18
2/20/12,,,,
2/21/12,0.1,0.13,2.05,0.17
2/22/12,0.08,0.13,2.01,0.17
2/23/12,0.08,0.14,1.99,0.17
2/24/12,0.09,0.14,1.98,0.18
2/27/12,0.1,0.14,1.92,0.17
2/28/12,0.1,0.14,1.94,0.18
2/29/12,0.1,0.13,1.98,0.18
3/1/12,0.11,0.13,2.03,0.18
3/2/12,0.11,0.12,1.99,0.17
3/5/12,0.11,0.14,2,0.17
3/6/12,0.11,0.13,1.96,0.17
