KYTREASNOX,CALDT,TDBID,TDASK
2000007,01/03/2012,100.421875,100.484375
2000007,01/04/2012,100.15625,100.21875
2000007,01/05/2012,100,100.0625
2000007,01/06/2012,100.34375,100.40625
2000007,01/09/2012,100.34375,100.40625
2000007,01/10/2012,100.25,100.3125
2000007,01/11/2012,100.8125,100.875
2000007,01/12/2012,100.65625,100.71875
2000007,01/13/2012,101.1875,101.234375
2000007,01/17/2012,101.25,101.296875
2000007,01/18/2012,100.875,100.921875
2000007,01/19/2012,100.15625,100.21875
2000007,01/20/2012,99.75,99.8125
2000007,01/23/2012,99.515625,99.5625
2000007,01/24/2012,99.421875,99.484375
2000007,01/25/2012,100,100.0625
2000007,01/26/2012,100.5625,100.609375
2000007,01/27/2012,100.9375,100.984375
2000007,01/30/2012,101.359375,101.421875
2000007,01/31/2012,101.78125,101.84375
2000007,02/01/2012,101.5,101.5625
2000007,02/02/2012,101.546875,101.609375
2000007,02/03/2012,100.65625,100.71875
2000007,02/06/2012,100.796875,100.859375
2000007,02/07/2012,100.203125,100.265625
2000007,02/08/2012,100.109375,100.171875
2000007,02/09/2012,100,100.046875
2000007,02/10/2012,100.4375,100.484375
2000007,02/13/2012,100.53125,100.578125
2000007,02/14/2012,100.84375,100.890625
2000007,02/15/2012,100.921875,100.96875
2000007,02/16/2012,100.421875,100.46875
2000007,02/17/2012,100.265625,100.296875
2000007,02/21/2012,99.765625,99.8125
2000007,02/22/2012,100.25,100.296875
2000007,02/23/2012,100.28125,100.328125
2000007,02/24/2012,100.484375,100.53125
2000007,02/27/2012,100.9375,100.984375
2000007,02/28/2012,100.796875,100.84375
2000007,02/29/2012,100.546875,100.59375
2000007,03/01/2012,100.046875,100.09375
2000007,03/02/2012,100.546875,100.578125
2000007,03/05/2012,100.203125,100.234375
2000007,03/06/2012,100.8125,100.84375
2000007,03/07/2012,100.53125,100.5390625
2000007,03/08/2012,100.21875,100.2265625
2000007,03/09/2012,100.1015625,100.109375
2000007,03/12/2012,100.0546875,100.0703125
2000007,03/13/2012,99.2265625,99.234375
2000007,03/14/2012,97.9765625,97.984375
2000007,03/15/2012,97.8984375,97.9453125
2000007,03/16/2012,97.7578125,97.765625
2000007,03/19/2012,97.0625,97.0703125
2000007,03/20/2012,97.203125,97.2109375
2000007,03/21/2012,97.75,97.7578125
2000007,03/22/2012,97.9140625,97.921875
2000007,03/23/2012,98.3125,98.328125
2000007,03/26/2012,98.1796875,98.1953125
2000007,03/27/2012,98.71875,98.7265625
2000007,03/28/2012,98.59375,98.6015625
2000007,03/29/2012,98.9375,98.953125
2000007,03/30/2012,98.109375,98.171875
2000007,04/02/2012,98.359375,98.421875
2000007,04/03/2012,97.3046875,97.3671875
2000007,04/04/2012,97.9765625,98.0390625
2000007,04/05/2012,98.359375,98.421875
2000007,04/06/2012,99.4609375,99.5234375
2000007,04/09/2012,99.546875,99.609375
2000007,04/10/2012,100.1171875,100.1796875
2000007,04/11/2012,99.6640625,99.7265625
2000007,04/12/2012,99.4921875,99.5546875
2000007,04/13/2012,100.1171875,100.1796875
2000007,04/16/2012,100.140625,100.203125
2000007,04/17/2012,99.9921875,100.0546875
2000007,04/18/2012,100.1796875,100.2421875
2000007,04/19/2012,100.25,100.3125
2000007,04/20/2012,100.296875,100.359375
2000007,04/23/2012,100.5625,100.625
2000007,04/24/2012,100.2109375,100.2734375
2000007,04/25/2012,100.0859375,100.1484375
2000007,04/26/2012,100.5,100.5625
2000007,04/27/2012,100.5234375,100.5859375
2000007,04/30/2012,100.734375,100.796875
2000007,05/01/2012,100.4609375,100.5234375
2000007,05/02/2012,100.6171875,100.6796875
2000007,05/03/2012,100.5859375,100.6484375
2000007,05/04/2012,101.046875,101.109375
2000007,05/07/2012,101.1015625,101.1640625
2000007,05/08/2012,101.3984375,101.4609375
2000007,05/09/2012,101.53125,101.59375
2000007,05/10/2012,101.4375,101.5
2000007,05/11/2012,101.703125,101.765625
2000007,05/14/2012,102.3671875,102.375
2000007,05/15/2012,102.328125,102.3359375
2000007,05/16/2012,102.375,102.3828125
2000007,05/17/2012,102.890625,102.953125
2000007,05/18/2012,102.6953125,102.703125
2000007,05/21/2012,102.5390625,102.5546875
2000007,05/22/2012,102.28125,102.2890625
2000007,05/23/2012,102.59375,102.65625
2000007,05/24/2012,102.234375,102.25
2000007,05/25/2012,102.578125,102.5859375
2000007,05/29/2012,102.5078125,102.515625
2000007,05/30/2012,103.6484375,103.65625
2000007,05/31/2012,154.203125,154.28125
2000007,06/01/2012,155.4921875,155.5703125
2000007,06/04/2012,154.65625,154.734375
2000007,06/05/2012,154.0078125,154.0859375
2000007,06/06/2012,153.0078125,153.03125
2000007,06/07/2012,153.2421875,153.2734375
2000007,06/08/2012,153.2421875,153.3203125
2000007,06/11/2012,153.84375,153.875
2000007,06/12/2012,152.84375,152.921875
2000007,06/13/2012,153.671875,153.75
2000007,06/14/2012,153.1015625,153.171875
2000007,06/15/2012,153.8515625,153.9453125
2000007,06/18/2012,153.8984375,153.984375
2000007,06/19/2012,153.359375,153.4375
2000007,06/20/2012,152.9453125,152.96875
2000007,06/21/2012,153.4296875,153.4921875
2000007,06/22/2012,152.7109375,152.7890625
2000007,06/25/2012,153.5703125,153.6484375
2000007,06/26/2012,153.2421875,153.3203125
2000007,06/27/2012,153.3359375,153.4140625
2000007,06/28/2012,153.78125,153.859375
2000007,06/29/2012,100.90625,100.96875
2000007,07/02/2012,101.4375,101.5
2000007,07/03/2012,101.0703125,101.1328125
2000007,07/05/2012,101.375,101.4375
2000007,07/06/2012,101.78125,101.84375
2000007,07/09/2012,102.1171875,102.1796875
2000007,07/10/2012,102.21875,102.28125
2000007,07/11/2012,102.0859375,102.1484375
2000007,07/12/2012,102.46875,102.53125
2000007,07/13/2012,102.359375,102.421875
2000007,07/16/2012,102.4765625,102.5390625
2000007,07/17/2012,102.1640625,102.2265625
2000007,07/18/2012,102.2890625,102.3515625
2000007,07/19/2012,102.171875,102.234375
2000007,07/20/2012,102.6484375,102.7109375
2000007,07/23/2012,102.921875,102.984375
2000007,07/24/2012,103.28125,103.34375
