CALDT,TDBID,TDASK
20120103,111.40625,111.453125
20120104,111.46875,111.515625
20120105,111.46875,111.5
20120106,111.578125,111.640625
20120109,111.609375,111.65625
20120110,111.546875,111.625
20120111,111.75,111.796875
20120112,111.6875,111.734375
20120113,111.84375,111.921875
20120117,111.890625,111.953125
20120118,111.78125,111.828125
20120119,111.515625,111.5625
20120120,111.375,111.421875
20120123,111.296875,111.34375
20120124,111.3125,111.359375
20120125,111.828125,111.875
20120126,112.046875,112.125
20120127,112.125,112.171875
20120130,112.203125,112.25
20120131,111.765625,111.84375
20120201,111.703125,111.734375
20120202,111.765625,111.8125
20120203,111.46875,111.515625
20120206,111.53125,111.5625
20120207,111.234375,111.28125
20120208,111.140625,111.171875
20120209,110.984375,111.0625
20120210,111.15625,111.203125
20120213,111.046875,111.109375
20120214,111.125,111.1875
20120215,111.25,111.328125
20120216,110.921875,110.984375
20120217,110.90625,110.953125
20120221,110.640625,110.6875
20120222,110.84375,110.921875
20120223,110.84375,110.875
20120224,110.796875,110.84375
20120227,110.984375,111.046875
20120228,110.96875,111.046875
20120229,110.375,110.421875
20120301,110.234375,110.3125
20120302,110.46875,110.53125
20120305,110.296875,110.375
20120306,110.53125,110.578125
20120307,110.390625,110.4375
20120308,110.25,110.28125
20120309,110.15625,110.1875
20120312,110.0703125,110.09375
20120313,109.6796875,109.71875
20120314,109.09375,109.125
20120315,109.140625,109.171875
20120316,108.921875,108.984375
20120319,108.5234375,108.5546875
20120320,108.5234375,108.5859375
20120321,108.8046875,108.8359375
20120322,108.921875,108.9375
20120323,109.09375,109.125
20120326,109.109375,109.140625
20120327,109.421875,109.453125
20120328,109.3359375,109.3671875
20120329,109.546875,109.609375
20120330,110.65625,110.6875
20120402,110.8515625,110.9140625
20120403,110.28125,110.3125
20120404,110.6640625,110.6953125
20120405,110.8671875,110.8984375
20120406,111.375,111.40625
20120409,111.3671875,111.3984375
20120410,111.609375,111.625
20120411,111.4375,111.4609375
20120412,111.3828125,111.4140625
20120413,111.5703125,111.6015625
20120416,111.5546875,111.5859375
20120417,111.515625,111.546875
20120418,111.578125,111.609375
20120419,111.625,111.65625
20120420,111.578125,111.609375
20120423,111.703125,111.734375
20120424,111.515625,111.5390625
20120425,111.5390625,111.5703125
20120426,111.6875,111.71875
20120427,111.671875,111.6875
20120430,111.21875,111.234375
20120501,111.109375,111.125
20120502,111.1328125,111.1640625
20120503,111.1015625,111.1328125
20120504,111.3203125,111.328125
20120507,111.3125,111.375
20120508,111.3828125,111.4140625
20120509,111.4296875,111.484375
20120510,111.40625,111.4609375
20120511,111.453125,111.484375
20120514,111.625,111.6875
20120515,111.5390625,111.546875
20120516,111.4453125,111.4765625
20120517,111.4765625,111.5234375
20120518,111.359375,111.4140625
20120521,111.40625,111.4375
20120522,111.296875,111.359375
20120523,111.375,111.4375
20120524,111.203125,111.2109375
20120525,111.2890625,111.3515625
20120529,111.2265625,111.2578125
20120530,111.671875,111.703125
20120531,110.1796875,110.1875
20120601,110.328125,110.3515625
20120604,110.0078125,110.0234375
20120605,109.9765625,110.0234375
20120606,109.6953125,109.71875
20120607,109.8046875,109.8203125
20120608,109.7890625,109.828125
20120611,109.9140625,109.96875
20120612,109.625,109.640625
20120613,109.8125,109.8359375
20120614,109.6328125,109.6484375
20120615,109.9375,109.984375
20120618,109.90625,109.9375
20120619,109.75,109.78125
20120620,109.53125,109.5546875
20120621,109.703125,109.71875
20120622,109.5390625,109.5703125
20120625,109.8046875,109.828125
20120626,109.71875,109.7265625
20120627,109.71875,109.765625
20120628,109.9140625,109.9375
20120629,108.609375,108.625
20120702,108.8203125,108.8515625
20120703,108.6640625,108.7265625
20120705,108.796875,108.8046875
20120706,108.9296875,108.9375
20120709,109.0078125,109.046875
20120710,109.0546875,109.0703125
20120711,108.9453125,108.96875
20120712,109.03125,109.046875
20120713,109.0234375,109.078125
20120716,109.109375,109.140625
20120717,109.0234375,109.0703125
20120718,109.1328125,109.1640625
20120719,109.1015625,109.1328125
20120720,109.2578125,109.2890625
20120723,109.359375,109.3984375
20120724,109.4296875,109.4921875
20120725,109.390625,109.4296875
20120726,109.1640625,109.1953125
20120727,108.90625,108.9296875
20120730,109.1015625,109.1484375
20120731,108.71875,108.75
20120801,108.4296875,108.453125
20120802,108.546875,108.5625
20120803,108.265625,108.296875
20120806,108.3203125,108.3515625
20120807,108.0390625,108.0859375
20120808,107.953125,107.96875
20120809,107.9296875,107.9375
20120810,108.03125,108.0625
20120813,108.03125,108.0390625
20120814,107.8125,107.859375
20120815,107.5625,107.59375
20120816,107.46875,107.515625
20120817,107.578125,107.5859375
20120820,107.6171875,107.625
20120821,107.625,107.6328125
20120822,108.09375,108.109375
20120823,108.0859375,108.1171875
20120824,108.0078125,108.0390625
20120827,108.1171875,108.140625
20120828,108.1640625,108.1796875
20120829,108.1484375,108.15625
20120830,108.2734375,108.2890625
20120831,106.2734375,106.28125
20120904,106.140625,106.1875
20120905,106.1171875,106.1328125
20120906,105.84375,105.8515625
20120907,106,106.015625
20120910,106,106.0390625
20120911,105.8984375,105.90625
20120912,105.7421875,105.7734375
20120913,105.96875,106.015625
20120914,105.625,105.65625
20120917,105.5625,105.59375
20120918,105.6875,105.703125
20120919,105.78125,105.7890625
20120920,105.7421875,105.78125
20120921,105.8359375,105.8671875
20120924,105.9296875,105.9453125
20120925,105.9765625,106.0078125
20120926,106.171875,106.1796875
20120927,106.0703125,106.09375
20120928,106.1171875,106.1640625
20121001,106.140625,106.171875
20121002,106.171875,106.203125
20121003,106.234375,106.265625
20121004,106.0859375,106.09375
20121005,105.84375,105.875
20121009,105.921875,105.9375
20121010,105.96875,105.9765625
20121011,105.90625,105.9375
20121012,105.9140625,105.9453125
20121015,105.90625,105.921875
20121016,105.703125,105.765625
20121017,105.3203125,105.3359375
20121018,105.21875,105.25
20121019,105.4296875,105.4765625
20121022,105.2265625,105.2578125
20121023,105.40625,105.421875
20121024,105.375,105.3984375
20121025,105.125,105.15625
20121026,105.4140625,105.4453125
20121029,105.4609375,105.4921875
20121031,105.609375,105.6171875
20121101,105.5234375,105.546875
20121102,105.6171875,105.640625
20121105,105.71875,105.75
20121106,105.390625,105.453125
20121107,105.828125,105.8515625
20121108,106.0078125,106.0234375
20121109,105.9921875,106.0234375
20121113,106.0546875,106.0859375
20121114,106.0546875,106.0703125
20121115,106.0546875,106.078125
20121116,106.125,106.1484375
20121119,106,106.0078125
20121120,105.84375,105.8515625
20121121,105.7265625,105.7578125
20121123,105.6796875,105.7109375
20121126,105.796875,105.8046875
20121127,105.890625,105.921875
20121128,105.953125,105.984375
20121129,106.0390625,106.046875
20121130,108,108.03125
20121203,107.9609375,108.0078125
20121204,107.953125,108.015625
20121205,108.046875,108.0625
20121206,108.078125,108.109375
20121207,107.9609375,107.9921875
20121210,107.9609375,107.9921875
20121211,107.8515625,107.8828125
20121212,107.7578125,107.7890625
20121213,107.546875,107.578125
20121214,107.59375,107.625
20121217,107.3671875,107.4296875
20121218,107.21875,107.25
20121219,107.2578125,107.2890625
20121220,107.265625,107.296875
20121221,107.296875,107.328125
20121224,107.2109375,107.2421875
20121226,107.3203125,107.3671875
20121227,107.4609375,107.4921875
20121228,107.5625,107.59375
20121231,109.984375,110.015625
20130102,109.7890625,109.8203125
20130103,109.484375,109.515625
20130104,109.53125,109.5625
20130107,109.5390625,109.5625
20130108,109.65625,109.71875
20130109,109.7421875,109.7578125
20130110,109.6015625,109.6171875
20130111,109.6640625,109.6796875
20130114,109.734375,109.765625
20130115,109.796875,109.828125
