Date,CBOE S&P500 Volatility Index - Close,CBOE S&P100 Volatility Index - Close,CBOE NASDAQ Volatility Index - Close,CBOE DJIA Volatility Index - Close
20120103,22.97,21.57,23.02,20.89
20120104,22.22,20.54,21.98,20.1
20120105,21.48,20.14,21.4,19.75
20120106,20.63,19.77,20.52,19.18
20120109,21.07,19.28,21.22,19.45
20120110,20.69,19.17,20.93,19.32
20120111,21.05,19.62,21.18,19.5
20120112,20.47,19.18,20.79,19.04
20120113,20.91,20.13,21.38,19.32
20120117,22.2,21.01,22.21,20.16
20120118,20.89,19.41,21.29,19.18
20120119,19.87,18.86,20.27,18.16
20120120,18.28,16.99,18.97,16.05
20120123,18.67,16.92,19.42,16.71
20120124,18.91,17.36,19.74,16.96
20120125,18.31,17.04,19.36,16.41
20120126,18.57,17.57,19.56,16.58
20120127,18.53,18.06,19.31,16.65
20120130,19.4,17.91,19.75,17.68
20120131,19.44,18.3,19.89,17.63
20120201,18.55,17.45,19.04,16.85
20120202,17.98,17.03,18.89,16.61
20120203,17.1,16.19,18.21,15.62
20120206,17.76,16.08,18.65,16.2
20120207,17.65,16.17,18.75,16.12
20120208,18.16,16.77,18.99,16.44
20120209,18.63,16.9,18.9,17.12
20120210,20.79,18.76,20.94,18.64
20120213,19.04,17.21,19.6,17.25
20120214,19.54,17.4,20.18,17.79
20120215,21.14,19.43,22.35,19.15
20120216,19.22,17.13,20.89,17.59
20120217,17.78,16.33,19.76,16.22
20120221,18.19,16.25,19.92,16.76
20120222,18.19,16.34,19.72,16.62
20120223,16.8,15.28,18.41,15.49
20120224,17.31,15.44,18.27,15.74
20120227,18.19,15.92,19.42,16.49
20120228,17.96,15.63,19.55,16.67
20120229,18.43,16.11,19.83,16.99
20120301,17.26,15.23,18.68,16.09
20120302,17.29,15.2,18.23,15.94
20120305,18.05,15.29,19.57,16.48
20120306,20.87,18.05,21.42,19.31
20120307,19.07,16.98,20.42,17.73
20120308,17.95,16.13,19.05,16.4
20120309,17.11,15.37,18.11,15.95
20120312,15.64,14.7,16.71,13.83
20120313,14.8,14.66,16.44,13.63
20120314,15.31,15.52,17.59,14.23
20120315,15.42,14.59,17.25,13.54
20120316,14.47,13.73,16.47,12.76
20120319,15.04,13.73,16.55,13.79
20120320,15.58,14.27,16.35,14.47
20120321,15.13,14.42,16.23,14.37
20120322,15.57,15.09,16.83,14.58
20120323,14.82,14.41,16.57,13.69
20120326,14.26,13.42,15.92,13.18
20120327,15.59,14.5,17.02,14.12
20120328,15.47,14.58,17.28,14.45
20120329,15.48,14.65,17.27,14.2
20120330,15.5,14.66,17.19,13.94
20120402,15.64,13.96,16.7,14.08
20120403,15.66,14.1,16.82,14.46
20120404,16.44,15.35,17.95,15.08
20120405,16.7,15.79,17.96,15.27
20120409,18.81,17.55,20.18,17.14
20120410,20.39,19.66,21.59,18.56
20120411,20.02,19.34,21.3,18.23
20120412,17.2,16.77,19.34,15.62
20120413,19.55,19.28,21.44,17.67
20120416,19.55,19.49,22.57,17.75
20120417,18.46,17.67,20.63,16.53
20120418,18.64,18.36,21.26,16.69
20120419,18.36,18.43,20.99,16.68
20120420,17.44,17.54,20.17,15.59
20120423,18.97,18.66,21.31,16.98
20120424,18.1,17.99,21.03,16.09
20120425,16.82,16.12,18.47,15.32
20120426,16.24,15.75,17.83,14.58
20120427,16.32,15.68,17.52,14.74
20120430,17.15,16.05,18.77,15.34
20120501,16.6,15.66,18.66,14.86
20120502,16.88,16.04,18.41,15.11
20120503,17.56,16.88,19.19,15.74
20120504,19.16,18.82,21.1,17.06
20120507,18.94,18.08,21.06,17.4
20120508,19.05,18.65,21.28,17.66
20120509,20.08,20.33,21.98,18.51
20120510,18.83,19.1,21.33,17.57
20120511,19.89,20.56,21.79,18.34
20120514,21.87,21.62,23.48,19.98
20120515,21.97,22.1,23.59,20.2
20120516,22.27,22.07,24.17,20.17
20120517,24.49,24.28,26.5,21.97
20120518,25.1,24.52,27.55,22.3
20120521,22.01,21.75,24.3,19.99
20120522,22.48,21.39,24.52,20.41
20120523,22.33,21.87,24.09,20.44
20120524,21.54,21.12,24.2,19.61
20120525,21.76,21.44,23.99,20.2
20120529,21.03,19.88,23.33,19.45
20120530,24.14,22.82,25.35,21.86
20120531,24.06,23.06,25.89,21.81
20120601,26.66,26.21,28.63,24.32
20120604,26.12,24.84,28.17,23.98
20120605,24.68,23.86,26.39,22.68
20120606,22.16,21.45,23.75,20.01
20120607,21.72,20.96,23.81,19.73
20120608,21.23,20.18,22.55,18.87
20120611,23.56,23.55,24.6,21.09
20120612,22.09,22.07,23.15,19.91
20120613,24.27,23.99,24.52,21.34
20120614,21.68,22.52,24.02,19.76
20120615,21.11,20.85,21.86,18.39
20120618,18.32,18.2,19.64,16.88
20120619,18.38,17.64,19.2,16.45
20120620,17.24,16.61,17.81,15.31
20120621,20.08,19.79,20.78,17.74
20120622,18.11,17.9,19.12,16.12
20120625,20.38,20.13,21.28,17.99
20120626,19.72,19.43,20.87,17.65
20120627,19.45,19.35,20.68,17.46
20120628,19.71,19.69,21.51,17.53
20120629,17.08,16.54,18.65,15.32
20120702,16.8,15.67,18.55,15.46
