Date,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
20141201,300.0,370.0,300.0,370.0,0.0254029391357,9.36680925216,366.772151899
20141202,370.0,378.0,370.0,378.0,1.71751641827,649.170027261,375.937445747
20141203,378.0,378.0,377.010009766,378.0,0.0436898962025,16.5031512552,377.882702467
20141204,378.0,378.0,377.100006104,377.100006104,0.00999999977648,3.77991815264,377.991818237
20141208,375.010009766,375.010009766,375.0,375.0,0.234999999404,88.1250991821,375.000427246
20141210,398.0,398.0,360.5,360.5,0.00999999977648,3.79250001907,379.25
20141212,379.0,379.0,350.0,350.0,0.261176474502,93.1052282277,366.046950396
20141218,345.0,345.0,340.0,340.0,2.0,685.0,342.5
20150108,360.0,360.0,264.809997559,288.989990234,0.0151760560054,4.44533631227,291.663852047
20150113,260.0,260.0,260.0,260.0,1.0,260.0,260.0
20150114,260.0,260.0,109.870002747,120.0,0.0300277819087,5.15308942836,176.135099623
20150115,170.0,224.0,120.0,204.220001221,0.158503245971,29.6489245353,162.525332917
20150116,204.220001221,225.5,189.0,199.460006714,0.0127291663847,2.49375408192,193.403607538
20150120,225.509994507,225.509994507,208.0,218.0,0.00999999977648,2.21663847119,221.663843049
20150121,218.0,225.509994507,218.0,225.509994507,0.00523465093154,1.17143570888,223.859599506
20150122,225.509994507,257.730010986,216.589996338,226.320007324,0.0157010451218,3.66422967099,229.752529176
20150123,226.320007324,235.0,215.0,235.0,0.0166111596705,3.81826354845,226.780866538
20150126,254.529998779,322.720001221,241.429992676,274.480010986,8.16766155911,2335.80445617,280.859665161
20150127,274.5,278.470001221,244.029998779,263.649993896,1.69227315165,442.793269292,260.556415484
20150128,263.670013428,265.989990234,228.5,235.289993286,4.67488207369,1160.84240632,252.994333998
20150129,235.86000061,242.0,221.13999939,235.600006104,5.52771856028,1289.47481039,233.599845219
20150130,235.029998779,244.589996338,227.88999939,229.679992676,5.18531736653,1212.91947824,234.267632029
20150202,228.63999939,240.100006104,220.88999939,237.830001831,6.52791358603,1488.07388195,227.00648276
20150203,237.830001831,243.899993896,225.320007324,228.580001831,6.74882865608,1598.86592953,236.936001767
20150204,228.899993896,230.990005493,221.5,227.080001831,6.73401771661,1522.71924115,226.051185131
20150205,227.080001831,228.899993896,215.0,216.729995728,6.01152769716,1331.18110621,223.381293021
20150206,216.729995728,226.63999939,216.029998779,222.699996948,4.17366864,923.803444714,220.888425488
20150209,224.0,225.0,216.449996948,221.300003052,4.87294008737,1077.55487175,221.713428317
20150210,221.300003052,222.0,215.0,220.869995117,4.81826143429,1055.28939801,218.880292892
20150211,220.869995117,223.61000061,217.460006714,219.619995117,6.50960744025,1440.56673154,221.506775114
20150212,219.619995117,224.61000061,218.0,223.0,5.61936051832,1240.9883495,220.408156617
20150213,222.410003662,242.36000061,221.550003052,236.990005493,10.7690513557,2522.11718599,232.908950085
20150217,234.5,248.0,233.0,244.979995728,11.785389188,2837.94578861,239.052216668
20150218,244.899993896,246.0,231.929992676,237.25,9.05290860011,2168.38514494,240.671816921
20150219,237.479995728,245.0,235.580001831,241.699996948,6.77012133391,1622.22693069,238.814373906
20150220,241.699996948,248.320007324,239.990005493,245.179992676,8.00508374595,1954.99664023,244.412222481
20150223,236.88999939,240.970001221,232.0,239.220001221,7.10144053721,1686.93480503,237.36151247
20150224,239.339996338,241.910003662,235.509994507,239.990005493,6.34368160149,1518.0147064,239.173116917
20150225,239.970001221,241.0,235.100006104,238.220001221,5.73328172653,1367.95845786,238.618615511
20150226,238.259994507,238.470001221,234.330001831,237.229995728,6.08260140288,1441.69648054,237.105244721
20150227,237.220001221,259.0,236.289993286,254.5,14.4772570526,3644.84437621,250.986787181
20150302,260.130004883,279.799987793,256.600006104,276.700012207,12.796807351,3406.48802524,263.612160852
20150303,276.690002441,289.5,267.070007324,283.260009766,13.1303775439,3643.37708517,276.615521685
20150304,283.149993896,287.0,267.390014648,273.380004883,10.4087496213,2905.67035373,280.039879163
20150305,273.359985352,281.089996338,262.489990234,276.850006104,8.23397817485,2234.77819227,271.037150362
20150306,276.239990234,280.0,269.119995117,273.25,7.14777754438,1959.05011635,273.865371577
20150309,275.489990234,294.420013428,275.0,290.25,9.68959540846,2761.32855987,282.541682731
20150310,290.179992676,299.480010986,289.820007324,293.130004883,11.3063886161,3341.49231885,295.022301186
20150311,293.059997559,297.799987793,290.510009766,296.989990234,6.94560589729,2046.7960821,294.729955334
20150312,296.980010986,298.899993896,291.869995117,295.899993896,6.78542400107,2005.85088153,295.165935601
20150313,295.899993896,296.429992676,284.859985352,285.890014648,8.44247618717,2454.56582184,291.395815637
20150316,287.989990234,294.989990234,287.410003662,292.5,6.38198795262,1867.26958968,292.6753319
20150317,292.5,293.690002441,284.010009766,286.739990234,5.61703940546,1628.75482756,290.690511576
20150318,286.920013428,287.0,250.0,258.790008545,13.1076446525,3531.72233979,275.704656484
20150319,258.690002441,266.799987793,249.199996948,263.149993896,11.6655733879,3022.88598946,259.81978427
20150320,262.950012207,267.420013428,259.309997559,263.459991455,5.45397740328,1436.2456361,263.204169803
20150323,269.209991455,273.989990234,260.809997559,267.510009766,9.68698390952,2593.37852281,268.820056407
20150324,267.519989014,268.510009766,244.86000061,246.009994507,12.478782461,3145.16322562,257.727110767
20150325,246.070007324,249.990005493,234.509994507,246.699996948,8.42680761696,2067.39298761,245.945002609
20150326,246.720001221,254.899993896,244.919998169,249.669998169,7.77507670728,1949.14180657,250.012812795
20150327,249.720001221,250.990005493,246.440002441,247.75,6.00302585,1493.55675552,248.820585887
20150330,243.679992676,250.059997559,237.940002441,248.779998779,8.17178859267,2010.35583049,246.283908325
20150331,248.779998779,249.979995728,242.869995117,245.410003662,5.89045794649,1450.03866496,246.558291086
20150401,245.490005493,248.220001221,241.070007324,247.309997559,7.05387376837,1728.25632278,244.838748784
20150402,247.330001831,255.240005493,245.800003052,254.710006714,6.35330309727,1589.54746726,249.32788603
20150403,254.710006714,257.429992676,252.589996338,254.839996338,5.19489154218,1324.42411903,254.861992306
20150406,261.799987793,263.0,255.0,257.0,5.51653003651,1429.64227321,259.296894572
20150407,256.760009766,258.700012207,253.449996948,254.160003662,5.75277114823,1472.04994899,255.651183065
