date,CNY_US,JPY_US,GBP_US,US_EURO
20120102,,,,
20120103,6.294,76.67,1.5655,0.7656
20120104,6.2941,76.68,1.5638,0.7734
20120105,6.3013,77.18,1.548,0.7823
20120106,6.3088,77.06,1.5431,0.786
20120109,6.3143,76.88,1.5436,0.7846
20120110,6.3141,76.84,1.5489,0.7824
20120111,6.3149,76.9,1.5325,0.7883
20120112,6.3177,76.76,1.5325,0.7802
20120113,6.3065,76.9,1.5301,0.7885
20120116,,,,
20120117,6.3136,76.8,1.5356,0.7849
20120118,6.3109,76.81,1.541,0.7797
20120119,6.3162,77.23,1.5484,0.773
20120120,6.333,76.97,1.554,0.7723
20120123,6.333,76.92,1.5582,0.7672
20120124,6.333,77.78,1.5595,0.769
20120125,6.333,78.13,1.557,0.7705
20120126,6.333,77.47,1.5706,0.7603
20120127,6.333,76.68,1.5716,0.758
20120130,6.331,76.28,1.569,0.762
20120131,6.308,76.34,1.5754,0.7661
20120201,6.3076,76.11,1.5849,0.7588
20120202,6.3017,76.13,1.5813,0.7595
20120203,6.3027,76.54,1.5779,0.763
20120206,6.312,76.54,1.5832,0.7616
20120207,6.3046,76.88,1.5891,0.7551
20120208,6.2938,76.9,1.582,0.7545
20120209,6.2947,77.42,1.5838,0.752
20120210,6.2991,77.57,1.5748,0.7583
20120213,6.2972,77.52,1.578,0.7569
20120214,6.2995,78.39,1.5691,0.7605
20120215,6.2998,78.22,1.571,0.7641
20120216,6.3014,78.77,1.5795,0.7628
20120217,6.2985,79.33,1.5813,0.7605
20120220,,,,
20120221,6.296,79.73,1.5796,0.7544
20120222,6.296,80.3,1.5677,0.7547
20120223,6.298,80.21,1.57,0.7514
20120224,6.2976,80.88,1.5869,0.7428
20120227,6.3012,80.42,1.5845,0.7457
20120228,6.2989,80.44,1.5887,0.7434
20120229,6.2935,81.1,1.5951,0.7486
20120301,6.3001,81.16,1.5953,0.7508
20120302,6.2982,81.56,1.5852,0.7575
20120305,6.3066,81.43,1.587,0.7561
20120306,6.3082,80.86,1.572,0.7625
20120307,6.3097,81.06,1.5746,0.7605
20120308,6.3159,81.5,1.5822,0.7544
20120309,6.3109,82.59,1.5677,0.7629
20120312,6.3258,82.21,1.5615,0.761
20120313,6.3266,82.66,1.5736,0.7628
20120314,6.3315,83.78,1.5686,0.7678
20120315,6.3282,83.28,1.5669,0.7651
20120316,6.3222,83.34,1.5845,0.7592
20120319,6.3191,83.31,1.5894,0.7552
