date,Federal Funds (Effective),TCMNOM_M6,TCMNOM_Y10,TCMNOM_Y1
20120102,,,,
20120103,0.07,0.06,1.97,0.12
20120104,0.07,0.06,2,0.12
20120105,0.07,0.07,2.02,0.11
20120106,0.07,0.05,1.98,0.12
20120109,0.08,0.05,1.98,0.11
20120110,0.08,0.05,2,0.11
20120111,0.08,0.05,1.93,0.11
20120112,0.08,0.06,1.94,0.11
20120113,0.09,0.06,1.89,0.1
20120116,,,,
20120117,0.09,0.06,1.87,0.11
20120118,0.09,0.07,1.92,0.11
20120119,0.1,0.07,2.01,0.11
20120120,0.09,0.07,2.05,0.11
20120123,0.09,0.07,2.09,0.12
20120124,0.09,0.07,2.08,0.12
20120125,0.08,0.07,2.01,0.12
20120126,0.08,0.08,1.96,0.12
20120127,0.09,0.08,1.93,0.12
20120130,0.09,0.08,1.87,0.12
20120131,0.11,0.08,1.83,0.13
20120201,0.11,0.09,1.87,0.13
20120202,0.11,0.1,1.86,0.14
20120203,0.11,0.1,1.97,0.14
20120206,0.11,0.1,1.93,0.14
20120207,0.11,0.11,2,0.14
20120208,0.11,0.11,2.01,0.15
20120209,0.11,0.12,2.04,0.15
20120210,0.12,0.12,1.96,0.15
20120213,0.12,0.14,1.99,0.15
20120214,0.12,0.15,1.92,0.18
20120215,0.12,0.13,1.93,0.18
20120216,0.11,0.13,1.99,0.17
20120217,0.09,0.13,2.01,0.18
20120220,,,,
20120221,0.1,0.13,2.05,0.17
20120222,0.08,0.13,2.01,0.17
20120223,0.08,0.14,1.99,0.17
20120224,0.09,0.14,1.98,0.18
20120227,0.1,0.14,1.92,0.17
20120228,0.1,0.14,1.94,0.18
20120229,0.1,0.13,1.98,0.18
20120301,0.11,0.13,2.03,0.18
20120302,0.11,0.12,1.99,0.17
20120305,0.11,0.14,2,0.17
20120306,0.11,0.13,1.96,0.17
20120307,0.11,0.14,1.98,0.18
20120308,0.11,0.14,2.03,0.18
20120309,0.12,0.13,2.04,0.18
20120312,0.12,0.15,2.04,0.18
20120313,0.12,0.15,2.14,0.2
20120314,0.13,0.15,2.29,0.21
20120315,0.14,0.15,2.29,0.21
20120316,0.15,0.15,2.31,0.21
20120319,0.15,0.15,2.39,0.21
20120320,0.15,0.15,2.38,0.22
20120321,0.15,0.15,2.31,0.21
20120322,0.14,0.14,2.29,0.19
20120323,0.14,0.14,2.25,0.19
20120326,0.14,0.15,2.26,0.19
20120327,0.14,0.14,2.2,0.18
20120328,0.13,0.14,2.21,0.18
20120329,0.13,0.14,2.18,0.18
20120330,0.09,0.15,2.23,0.19
20120402,0.15,0.14,2.22,0.18
20120403,0.15,0.15,2.3,0.2
20120404,0.15,0.14,2.25,0.19
20120405,0.15,0.14,2.19,0.19
20120406,0.12,0.14,2.07,0.19
20120409,0.16,0.15,2.06,0.19
20120410,0.15,0.15,2.01,0.19
20120411,0.16,0.14,2.05,0.18
20120412,0.15,0.14,2.08,0.18
20120413,0.15,0.13,2.02,0.17
20120416,0.15,0.14,2,0.18
20120417,0.16,0.13,2.03,0.18
20120418,0.15,0.13,2,0.18
20120419,0.13,0.12,1.98,0.17
20120420,0.12,0.13,1.99,0.18
20120423,0.13,0.13,1.96,0.17
20120424,0.14,0.14,2,0.18
20120425,0.15,0.14,2.01,0.18
20120426,0.14,0.15,1.98,0.18
20120427,0.13,0.14,1.96,0.19
20120430,0.16,0.15,1.95,0.2
20120501,0.16,0.15,1.98,0.19
20120502,0.15,0.15,1.96,0.18
20120503,0.15,0.15,1.96,0.19
20120504,0.16,0.14,1.91,0.18
20120507,0.16,0.15,1.92,0.18
20120508,0.16,0.15,1.88,0.18
20120509,0.15,0.15,1.87,0.18
20120510,0.15,0.15,1.89,0.18
20120511,0.15,0.15,1.84,0.18
20120514,0.16,0.15,1.78,0.19
20120515,0.16,0.15,1.76,0.19
20120516,0.16,0.15,1.76,0.2
20120517,0.16,0.16,1.7,0.2
20120518,0.16,0.15,1.71,0.2
20120521,0.16,0.14,1.75,0.21
20120522,0.16,0.14,1.79,0.21
20120523,0.15,0.13,1.73,0.2
20120524,0.15,0.14,1.77,0.21
20120525,0.15,0.14,1.75,0.2
20120528,,,,
20120529,0.16,0.14,1.74,0.2
20120530,0.16,0.13,1.63,0.19
20120531,0.16,0.14,1.59,0.18
20120601,0.16,0.12,1.47,0.17
20120604,0.17,0.13,1.53,0.18
20120605,0.17,0.14,1.57,0.18
20120606,0.16,0.13,1.66,0.18
20120607,0.16,0.14,1.66,0.18
20120608,0.17,0.14,1.65,0.19
20120611,0.17,0.15,1.6,0.18
20120612,0.16,0.15,1.67,0.19
20120613,0.17,0.15,1.61,0.18
20120614,0.17,0.15,1.64,0.18
20120615,0.18,0.15,1.6,0.18
20120618,0.17,0.15,1.59,0.18
20120619,0.17,0.14,1.64,0.18
20120620,0.16,0.16,1.65,0.2
20120621,0.17,0.15,1.63,0.19
20120622,0.17,0.15,1.69,0.19
20120625,0.17,0.16,1.63,0.19
20120626,0.16,0.15,1.66,0.21
20120627,0.15,0.17,1.65,0.21
20120628,0.15,0.17,1.6,0.22
20120629,0.09,0.16,1.67,0.21
20120702,0.18,0.15,1.61,0.21
20120703,0.17,0.15,1.65,0.21
20120704,,,,
20120705,0.17,0.15,1.62,0.19
20120706,0.17,0.15,1.57,0.2
20120709,0.17,0.14,1.53,0.2
20120710,0.17,0.15,1.53,0.2
20120711,0.17,0.15,1.54,0.2
20120712,0.18,0.15,1.5,0.2
20120713,0.19,0.15,1.52,0.2
20120716,0.18,0.14,1.5,0.18
20120717,0.17,0.14,1.53,0.18
20120718,0.16,0.14,1.52,0.18
20120719,0.13,0.14,1.54,0.17
20120720,0.13,0.14,1.49,0.17
20120723,0.14,0.14,1.47,0.17
20120724,0.15,0.15,1.44,0.18
20120725,0.15,0.14,1.43,0.17
20120726,0.14,0.15,1.45,0.18
20120727,0.14,0.15,1.58,0.17
20120730,0.14,0.15,1.53,0.18
20120731,0.13,0.14,1.51,0.16
20120801,0.14,0.14,1.56,0.17
20120802,0.14,0.14,1.51,0.17
20120803,0.14,0.14,1.6,0.16
20120806,0.14,0.14,1.59,0.16
20120807,0.13,0.14,1.66,0.19
20120808,0.13,0.14,1.68,0.19
20120809,0.13,0.15,1.69,0.2
20120810,0.13,0.14,1.65,0.18
20120813,0.13,0.15,1.65,0.19
20120814,0.13,0.15,1.73,0.19
20120815,0.13,0.14,1.8,0.19
20120816,0.13,0.14,1.83,0.2
