CALDT,TDBID_1,TDASK_1
20120103,103.40625,103.46875
20120104,103.3984375,103.4609375
20120105,103.3828125,103.453125
20120106,103.3671875,103.4296875
20120109,103.359375,103.421875
20120110,103.3359375,103.40625
20120111,103.3671875,103.375
20120112,103.3515625,103.3671875
20120113,103.2890625,103.359375
20120117,103.28125,103.34375
20120118,103.28125,103.3515625
20120119,103.2734375,103.34375
20120120,103.234375,103.296875
20120123,103.25390625,103.26171875
20120124,103.21875,103.28125
20120125,103.2109375,103.28125
20120126,103.203125,103.2734375
20120127,103.1875,103.25
20120130,103.1953125,103.2578125
20120131,102.6875,102.75
20120201,102.6796875,102.7421875
20120202,102.6640625,102.734375
20120203,102.6328125,102.703125
20120206,102.625,102.6953125
20120207,102.609375,102.6796875
20120208,102.609375,102.671875
20120209,102.5859375,102.65625
20120210,102.5625,102.6328125
20120213,102.5390625,102.6015625
20120214,102.53125,102.59375
20120215,102.5625,102.5859375
20120216,102.53125,102.6015625
20120217,102.53125,102.59375
20120221,102.4765625,102.546875
20120222,102.4765625,102.5390625
20120223,102.4765625,102.5390625
20120224,102.4453125,102.5078125
20120227,102.4453125,102.5078125
20120228,102.4296875,102.5
20120229,102.5,102.5703125
20120301,102.5,102.5703125
20120302,102.4765625,102.5390625
20120305,102.46875,102.53125
20120306,102.46484375,102.52734375
20120307,102.4609375,102.484375
20120308,102.4609375,102.46875
20120309,102.421875,102.4453125
20120312,102.4296875,102.4375
20120313,102.3984375,102.4296875
20120314,102.3984375,102.4296875
20120315,102.40625,102.4140625
20120316,102.3828125,102.390625
20120319,102.359375,102.390625
20120320,102.34375,102.375
20120321,102.34375,102.375
20120322,102.3515625,102.3671875
20120323,102.34375,102.3515625
20120326,102.328125,102.34375
20120327,102.3125,102.34375
20120328,102.3203125,102.359375
20120329,102.3046875,102.3359375
20120330,102.25,102.2578125
20120402,102.21875,102.2578125
20120403,102.21875,102.2421875
20120404,102.2109375,102.2421875
20120405,102.1875,102.21875
20120406,102.1875,102.21875
20120409,102.1953125,102.21875
20120410,102.203125,102.21875
20120411,102.1953125,102.2265625
20120412,102.1953125,102.2109375
20120413,102.1796875,102.1953125
20120416,102.1796875,102.1875
20120417,102.1640625,102.1875
20120418,102.171875,102.203125
20120419,102.171875,102.203125
20120420,102.1484375,102.171875
20120423,102.14453125,102.16796875
20120424,102.1328125,102.1484375
20120425,102.1171875,102.1484375
20120426,102.125,102.140625
20120427,102.09375,102.1171875
20120430,102.890625,102.9296875
20120501,102.875,102.8984375
20120502,102.8828125,102.890625
20120503,102.859375,102.8828125
20120504,102.8515625,102.875
20120507,102.84375,102.859375
20120508,102.828125,102.84375
20120509,102.8359375,102.84375
20120510,102.8203125,102.828125
20120511,102.796875,102.8046875
20120514,102.7890625,102.796875
20120515,102.7578125,102.7890625
20120516,102.765625,102.78125
20120517,102.75,102.765625
20120518,102.71875,102.7421875
20120521,102.7265625,102.734375
20120522,102.7109375,102.7265625
20120523,102.7109375,102.7265625
20120524,102.6953125,102.7265625
20120525,102.671875,102.6796875
20120529,102.6640625,102.6953125
20120530,102.6484375,102.671875
20120531,103.25,103.28125
20120601,103.2421875,103.25
20120604,103.21875,103.2421875
20120605,103.21875,103.2421875
20120606,103.203125,103.21875
20120607,103.1796875,103.203125
20120608,103.1484375,103.171875
20120611,103.1640625,103.171875
20120612,103.1484375,103.15625
20120613,103.140625,103.1484375
20120614,103.125,103.140625
20120615,103.1015625,103.1171875
20120618,103.0859375,103.1171875
20120619,103.0625,103.09375
20120620,103.0546875,103.0859375
20120621,103.0546875,103.0703125
20120622,103.015625,103.0390625
20120625,103.0234375,103.0390625
20120626,103.015625,103.0234375
20120627,103,103.015625
20120628,102.9921875,103
20120629,103.0703125,103.09375
20120702,103.0859375,103.09375
20120703,103.0703125,103.0859375
20120705,103.0703125,103.078125
20120706,103.0546875,103.0625
20120709,103.046875,103.0625
20120710,103.0234375,103.0546875
20120711,103.046875,103.0546875
20120712,103.03125,103.046875
20120713,103.0078125,103.03125
20120716,103.015625,103.0234375
20120717,103.0078125,103.015625
20120718,103.0078125,103.0234375
20120719,103,103.015625
20120720,102.96875,102.9921875
20120723,102.953125,102.984375
20120724,102.9453125,102.9765625
20120725,102.953125,102.9609375
20120726,102.9375,102.9609375
20120727,102.890625,102.921875
20120730,102.90625,102.9140625
20120731,103.171875,103.1796875
20120801,103.1640625,103.171875
20120802,103.140625,103.171875
20120803,103.125,103.1328125
20120806,103.09375,103.125
20120807,103.0859375,103.109375
20120808,103.078125,103.0859375
20120809,103.0625,103.0703125
20120810,103.0390625,103.0546875
20120813,103.015625,103.0390625
20120814,103.015625,103.0390625
20120815,102.9921875,103.015625
20120816,102.9921875,103.015625
20120817,102.984375,102.9921875
20120820,102.96875,103
20120821,102.96875,102.9921875
20120822,102.9453125,102.96875
20120823,102.953125,102.96875
20120824,102.9140625,102.9453125
20120827,102.921875,102.9375
20120828,102.9140625,102.9375
20120829,102.90625,102.9140625
20120830,102.890625,102.9140625
20120831,102.8828125,102.9140625
20120904,102.8828125,102.90625
20120905,102.875,102.8828125
20120906,102.84375,102.8671875
20120907,102.8359375,102.8671875
20120910,102.828125,102.84375
20120911,102.8203125,102.828125
20120912,102.8125,102.8203125
20120913,102.8125,102.8359375
20120914,102.7734375,102.796875
20120917,102.7734375,102.78125
20120918,102.75,102.7734375
20120919,102.75,102.7578125
20120920,102.734375,102.7578125
20120921,102.71875,102.734375
20120924,102.71875,102.7265625
20120925,102.703125,102.71875
20120926,102.6953125,102.71875
20120927,102.6875,102.703125
20120928,102.90625,102.9375
20121001,102.890625,102.9140625
20121002,102.8984375,102.921875
20121003,102.890625,102.9140625
20121004,102.8671875,102.890625
20121005,102.828125,102.8515625
20121009,102.8359375,102.84375
20121010,102.8203125,102.8359375
20121011,102.796875,102.828125
20121012,102.796875,102.8046875
20121015,102.7734375,102.8046875
20121016,102.7734375,102.796875
20121017,102.7578125,102.7890625
20121018,102.734375,102.765625
20121019,102.7265625,102.7421875
20121022,102.71875,102.734375
20121023,102.71875,102.7265625
20121024,102.6953125,102.71875
20121025,102.6953125,102.7109375
20121026,102.6796875,102.703125
20121029,102.671875,102.703125
20121031,102.515625,102.53125
20121101,102.50390625,102.52734375
20121102,102.4921875,102.5
20121105,102.484375,102.4921875
20121106,102.4765625,102.4921875
20121107,102.4765625,102.484375
20121108,102.46875,102.4765625
20121109,102.4453125,102.453125
20121113,102.421875,102.4453125
20121114,102.4140625,102.4453125
20121115,102.421875,102.4453125
20121116,102.3984375,102.421875
20121119,102.390625,102.421875
20121120,102.3828125,102.40625
20121121,102.359375,102.3828125
20121123,102.3359375,102.3671875
20121126,102.34375,102.3515625
20121127,102.3203125,102.3515625
20121128,102.3203125,102.3515625
20121129,102.328125,102.34375
20121130,101.7734375,101.78125
20121203,101.765625,101.7734375
20121204,101.765625,101.7734375
20121205,101.7421875,101.765625
20121206,101.7578125,101.765625
20121207,101.7265625,101.75
20121210,101.734375,101.7421875
20121211,101.7109375,101.75
20121212,101.734375,101.765625
20121213,101.734375,101.7578125
20121214,101.7265625,101.7578125
20121217,101.7421875,101.75
20121218,101.71875,101.75
20121219,101.6875,101.71875
20121220,101.6875,101.7109375
20121221,101.671875,101.703125
20121224,101.6640625,101.6875
20121226,101.6640625,101.6875
20121227,101.671875,101.703125
20121228,101.640625,101.671875
20121231,99.9296875,99.9453125
20130102,99.9453125,99.953125
20130103,99.9453125,99.953125
20130104,99.953125,99.9609375
20130107,99.9375,99.9609375
20130108,99.953125,99.9609375
20130109,99.9609375,99.96875
20130110,99.9609375,99.96875
20130111,99.953125,99.9765625
20130114,99.9296875,99.9609375
20130115,99.9453125,99.9609375
20130116,99.9453125,99.953125
20130117,99.9453125,99.953125
20130118,99.953125,99.9609375
20130122,99.9609375,99.96875
20130123,99.9609375,99.96875
20130124,99.953125,99.96875
20130125,99.953125,99.96875
20130128,99.953125,99.96875
20130129,99.953125,99.96875
20130130,99.953125,99.984375
20130131,101.546875,101.578125
20130201,101.5546875,101.578125
20130204,101.5546875,101.578125
20130205,101.5546875,101.578125
20130206,101.546875,101.5625
20130207,101.546875,101.5546875
20130208,101.515625,101.546875
20130211,101.5078125,101.5390625
20130212,101.4921875,101.515625
20130213,101.4921875,101.515625
20130214,101.5,101.5078125
20130215,101.484375,101.4921875
20130219,101.4765625,101.4921875
20130220,101.4765625,101.484375
20130221,101.46875,101.484375
20130222,101.453125,101.46875
20130225,101.453125,101.4609375
20130226,101.453125,101.4765625
20130227,101.4453125,101.4609375
20130228,101.6875,101.7109375
20130301,101.671875,101.6875
20130304,101.671875,101.6796875
20130305,101.6640625,101.671875
20130306,101.65625,101.6875
20130307,101.65625,101.6875
20130308,101.6484375,101.671875
20130311,101.640625,101.6484375
20130312,101.625,101.6484375
20130313,101.6328125,101.65625
20130314,101.625,101.6328125
20130315,101.6171875,101.640625
20130318,101.6015625,101.6328125
20130319,101.6171875,101.6328125
20130320,101.59375,101.6171875
20130321,101.6015625,101.6171875
20130322,101.5859375,101.6171875
20130325,101.5859375,101.59375
20130326,101.5625,101.59375
20130327,101.578125,101.5859375
20130328,101.5546875,101.578125
20130401,101.546875,101.5703125
20130402,101.5625,101.5859375
20130403,101.5703125,101.59375
20130404,101.546875,101.5703125
20130405,101.546875,101.578125
20130408,101.546875,101.5703125
20130409,101.5234375,101.5546875
20130410,101.5234375,101.546875
20130411,101.5390625,101.5625
20130412,101.5234375,101.5546875
20130415,101.53125,101.5390625
20130416,101.515625,101.53125
20130417,101.515625,101.546875
20130418,101.5234375,101.53125
20130419,101.5078125,101.53125
20130422,101.5078125,101.515625
20130423,101.484375,101.515625
20130424,101.5,101.5078125
20130425,101.4921875,101.5078125
20130426,101.4609375,101.4921875
20130429,101.4765625,101.5078125
20130430,101.71875,101.734375
20130501,101.71875,101.7265625
20130502,101.71875,101.7265625
20130503,101.6875,101.71875
20130506,101.6953125,101.7109375
20130507,101.6953125,101.7109375
20130508,101.6953125,101.71875
20130509,101.6875,101.6953125
20130510,101.65625,101.6796875
20130513,101.6640625,101.6953125
20130514,101.65625,101.6640625
20130515,101.65625,101.6875
20130516,101.6328125,101.6640625
20130517,101.625,101.6484375
20130520,101.6171875,101.640625
