Date,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
20120103,32.5,35.0,29.0,30.7000007629,10.2935166957,331.474973897,31.8040365219
20120104,30.9300003052,35.0,30.7000007629,32.7099990845,7.7810952201,247.853537329,32.1930511111
20120105,34.8899993896,42.7999992371,32.7200012207,42.7999992371,7.63764755908,293.948716466,38.0095558792
20120106,43.0,46.0,39.5999984741,41.5,6.81370932516,295.626540475,43.3867839547
20120109,43.0499992371,44.9900016785,39.0,40.0099983215,4.06030378255,171.148020627,42.7101205753
20120110,40.0,41.9900016785,38.5099983215,40.6500015259,4.65703775836,184.562851564,39.817533601
20120111,40.6500015259,44.7900009155,40.0099983215,43.5,4.33203225352,182.821494684,42.1897882031
20120112,43.5,44.4900016785,41.0,42.25,7.01602217571,302.296574992,42.4156195747
20120113,42.25,42.9700012207,41.0,41.0,6.51459456532,271.6372029,41.848422798
20120117,43.4700012207,43.4799995422,35.0099983215,35.0099983215,6.74939285689,274.549791241,40.9232623237
20120118,35.5,40.0900001526,35.5,36.6500015259,7.85832657047,289.05016131,37.2120759925
20120119,35.5400009155,39.0,35.5400009155,36.6300010681,4.12496778994,158.037530638,38.0120228183
20120120,38.5900001526,39.6199989319,37.5099983215,39.6199989319,8.65340747601,337.334206034,38.7406907258
20120123,36.9000015259,39.0,36.9000015259,39.0,3.58300000115,137.961411049,38.2809104919
20120124,38.8600006104,38.8800010681,37.1100006104,38.6500015259,1.88477271218,71.8336684595,38.0817163641
20120125,38.6599998474,39.0,35.0200004578,35.5900001526,5.46975758992,204.119450877,37.5664089087
20120126,36.0099983215,36.8699989319,34.0099983215,34.0099983215,12.4417500645,435.038969755,35.2261986732
20120127,34.0099983215,34.0099983215,31.0100002289,33.3899993896,4.24761665666,140.195690191,32.8529445966
20120130,33.9199981689,34.8800010681,32.5099983215,34.8800010681,5.55613041961,187.112364603,33.672685872
20120131,33.9000015259,34.7700004578,32.8499984741,33.25,4.57987881688,155.134776949,33.691018538
20120201,33.3100013733,34.7799987793,32.25,34.7799987793,6.5335517256,222.307605624,33.5641450553
20120202,34.7799987793,37.75,34.0,37.75,8.6027457317,307.813717256,36.0186507661
20120203,35.5600013733,36.7000007629,35.0,35.0,5.91778948717,209.38566508,35.6534069463
20120206,33.7999992371,34.9599990845,32.0,34.2999992371,9.55526079852,315.794981251,33.448732459
20120207,33.6599998474,34.6599998474,32.6500015259,34.6599998474,4.11931427047,137.936004605,33.4300411769
