Date,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
20140107,874.670410156,892.067504883,810.0,810.0,0.240344279023,202.33035048,841.199571815
20140108,810.0,899.842834473,788.0,824.982849121,0.17281761667,145.020986627,836.685899339
20140109,825.563476562,870.0,807.420837402,841.919372559,0.156678758575,130.287623378,833.680776743
20140110,841.86932373,857.340576172,817.0,857.330566406,0.191322607986,161.655087925,843.516332717
20140113,847.321533203,860.0,815.0,835.0,0.244048365458,203.111693627,833.617822035
20140114,835.0,877.293029785,805.0,831.0,0.688323507674,581.658237108,839.829124119
20140115,831.0,864.0,828.0,850.003662109,0.268302588537,227.92557251,844.036503906
20140116,853.0,865.0,824.0,826.97076416,0.227000107682,192.297444801,840.226991199
20140117,824.126403809,835.06427002,788.0,804.0,0.302965968196,244.248053377,802.032341617
20140121,840.0,845.989990234,820.099975586,829.010009766,0.313426093114,262.330984397,836.838168058
20140122,829.0,834.531433105,821.0,830.890014648,0.190290719064,157.960360315,828.651326497
20140123,822.400024414,830.888977051,821.0,830.888977051,0.330892882304,272.94462413,828.064046805
20140124,830.888977051,835.48425293,783.0,803.019348145,0.384754883858,314.879186792,817.019336877
20140127,826.701049805,840.0,780.0,780.0,0.594986792735,477.454144123,816.896976725
20140128,780.0,830.0,775.0,815.989990234,0.437601226421,352.322804074,794.866373698
20140129,815.989990234,826.225708008,795.0,795.0,0.357064169298,287.335694289,803.407273778
20140130,802.452209473,815.231323242,787.010009766,808.0,0.391720250451,314.276162217,803.032973137
20140131,808.0,812.634094238,801.0,812.190368652,0.217996540557,175.773907236,806.213644771
20140203,814.864318848,819.799987793,803.649291992,819.780029297,0.227270746778,184.292209327,810.193178177
20140204,808.0,819.780029297,799.578979492,802.400024414,0.228518737629,184.451821165,807.12482666
20140205,802.400024414,815.899353027,802.400024414,802.5,0.565097730061,454.188599652,805.236513335
20140206,802.5,803.727111816,767.608825684,767.608825684,0.563202083732,438.174791797,783.28138326
20140207,775.205078125,775.205078125,666.350402832,714.122070312,0.372547197199,266.669164829,726.111730115
20140210,686.836120605,748.0,550.0,690.200012207,0.246749324893,161.961897805,659.867769099
20140211,690.200012207,720.0,660.0,714.561096191,0.294967023832,204.336309639,689.993181887
20140212,709.929992676,709.929992676,651.309020996,670.665893555,0.441046262011,298.962105047,680.221174622
20140213,671.0,680.0,595.629516602,623.945800781,0.538267761188,336.406098935,642.579554546
20140214,629.074829102,710.0,586.429992676,670.339660645,0.251183022514,162.94725848,642.737743852
20140218,639.696838379,652.507385254,623.0,636.520080566,0.245232234186,156.274046206,637.659262264
20140219,634.932800293,640.0,602.906677246,630.161804199,0.371526750387,233.039018771,633.18042341
20140220,631.741149902,641.362426758,561.145996094,561.145996094,0.380837221274,229.587770791,599.753878386
20140221,567.26574707,597.053527832,547.72277832,572.274414062,0.268645724591,153.047316965,570.853579203
20140224,610.970581055,616.900817871,540.636108398,572.0,0.267549384507,156.194655571,584.175197292
20140225,565.383239746,568.093383789,450.0,535.598327637,0.341725481562,176.378847789,512.08292493
20140226,540.898620605,650.0,540.898620605,587.27130127,0.548869955335,324.703920641,590.229979836
20140227,599.006530762,629.900024414,580.5,596.48626709,0.334063454543,197.975462661,597.997154069
20140228,589.088623047,599.0,570.0,573.941162109,0.505532368016,294.201731852,583.882182154
20140303,583.735595703,700.0,583.735595703,666.943481445,0.455329494251,286.408598831,641.699310098
20140304,675.0,720.0,661.476745605,680.599975586,0.200879661521,138.092310587,691.728194527
20140305,680.599975586,690.171386719,660.010009766,680.989990234,0.249053646245,167.710067346,674.633861723
20140306,670.010009766,693.0,660.099975586,666.704101562,0.264725535731,177.580356951,671.265640259
20140307,670.082885742,680.463012695,628.73046875,636.200500488,0.212851953848,139.301494165,649.915808584
20140310,641.989990234,684.5,630.0,642.075683594,0.165990744891,107.869965739,640.846525493
20140311,646.934204102,665.934204102,560.0,641.0,0.739461977621,453.712055678,638.210546875
20140312,648.145019531,660.0,550.275024414,631.669250488,0.125773989069,80.4142338299,645.005987919
20140313,632.310913086,657.991027832,620.0,653.397583008,0.183428523635,118.566561376,646.982620239
20140314,653.397583008,654.913879395,550.0,631.239562988,0.746396738405,475.248072532,646.501803311
20140317,641.141479492,641.141479492,616.001037598,637.731262207,0.190845549665,119.643708849,631.519140625
20140318,628.0,633.989013672,610.010009766,619.783081055,0.226220284145,139.625453434,620.783358765
20140319,622.0,633.663024902,612.219970703,620.062011719,0.162604806071,100.765794002,621.28515984
20140320,621.086608887,625.017883301,590.0,590.0,0.205997465749,124.080206446,605.789796528
20140321,590.0,615.2265625,580.0,590.0,0.159519609855,94.7812730181,592.619508033
20140324,574.219970703,592.538696289,554.504516602,585.400268555,0.210548712386,120.43630806,575.146409776
20140325,584.0,591.149719238,579.0,584.0,0.31462706517,183.672566301,583.387952303
20140326,579.049987793,641.141479492,579.0,585.085083008,0.344240788438,201.500842957,584.725484748
20140327,585.099975586,599.273803711,500.010009766,512.788818359,0.291849342711,160.419158621,548.168730933
20140328,507.714172363,553.0,500.0,516.481079102,0.445805831008,232.222471385,525.71667387
20140331,468.7628479,530.0,443.350006104,462.385925293,0.209364386787,98.000650349,461.085009984
20140401,465.33984375,503.231109619,465.200012207,489.0,0.324952227364,159.089264039,487.136289535
20140402,489.0,497.146789551,443.625,443.625,0.240492794297,115.982363711,472.052463238
20140403,440.010009766,463.700012207,426.454223633,461.850006104,0.239954326698,107.577001816,446.864273943
20140404,454.060333252,550.0,440.0,458.841491699,0.198788367137,91.5148047954,455.815825195
20140407,465.491241455,475.320495605,450.0,462.079467773,0.337446037442,156.036189831,461.563396636
20140408,465.814208984,465.824188232,450.0,458.874694824,0.123883960486,56.5274271752,461.328834534
20140409,459.213867188,462.090301514,450.0,452.998535156,0.0808708617198,36.8969114849,455.439217704
20140410,450.010009766,450.010009766,368.13671875,371.783508301,0.239170712075,99.831886602,408.009650336
20140411,368.104278564,583.753295898,353.758026123,431.0,0.257920327116,105.925145945,402.562568447
20140414,411.338287354,480.0652771,411.338287354,451.057373047,0.533636917163,237.006555883,446.344388962
20140415,472.779846191,573.669250488,450.498779297,535.113891602,0.229937046176,115.131726539,504.042137316
20140416,529.813110352,544.567932129,490.555786133,523.530151367,0.457650463723,239.572426156,521.7623806
20140417,523.530151367,530.358642578,495.53036499,503.847900391,0.189136409995,97.2027320734,508.692928898
20140418,504.602203369,515.0,477.190338135,485.373687744,0.463089210744,230.124171588,493.303986942
20140421,507.0,517.310241699,485.0,496.4168396,0.666640233499,331.788315975,504.982601459
20140422,501.336761475,510.489990234,484.622375488,489.72442627,0.325638127247,162.400449179,501.359371019
20140423,492.852416992,497.734619141,489.0,495.617004395,0.41304860061,204.005582424,495.33836634
20140424,495.0,503.481323242,490.0,503.481323242,0.326222968886,160.603150465,495.265003551
20140425,496.686218262,496.686218262,449.0,471.430358887,0.37721619614,177.646247235,467.108245437
20140428,435.0,455.094207764,429.085388184,444.094665527,0.127242528411,55.845670096,441.479268825
20140429,444.094665527,454.623291016,435.652709961,445.679656982,0.281193443034,126.016667812,444.7394104
20140430,450.084564209,452.824371338,441.230285645,448.343170166,0.362306370585,162.877273676,448.783935547
20140501,448.0,464.417663574,448.0,459.324676514,0.426748408518,195.034133237,455.824056289
20140502,456.080444336,456.080444336,446.494110107,455.163818359,0.643258614508,290.717909417,451.261199951
20140505,436.594055176,440.0,429.179992676,429.179992676,0.282869226765,122.4501266,434.373495483
20140506,429.179992676,439.689727783,422.190002441,431.869506836,0.102606338703,44.2271658418,432.157823835
20140507,431.869506836,452.744232178,431.612731934,441.886138916,0.783115406814,351.927167542,441.448479286
20140508,446.261230469,451.999755859,441.808990479,448.261749268,0.445255712212,198.227242736,445.697495681
20140509,441.808990479,459.222137451,441.808990479,450.625030518,0.194946271752,87.9874490437,451.75319708
20140512,437.127593994,445.221710205,432.212982178,440.817871094,0.653776850805,285.811674248,438.778184371
20140513,444.759887695,444.759887695,436.449981689,440.778991699,0.500740235515,219.519782939,437.549509684
20140514,440.778991699,445.519989014,440.778991699,445.519989014,0.0670097967612,29.6096838776,442.702507606
20140515,440.890014648,449.587036133,440.890014648,449.587036133,0.335401784991,148.183548252,445.184034559
20140516,447.100006104,453.832366943,447.100006104,453.832366943,0.621125057521,279.721413241,450.740587023
20140520,449.994995117,498.83996582,449.994995117,493.427520752,0.443426332492,209.232084006,471.103692306
20140521,493.769989014,497.669403076,490.845825195,494.774536133,0.184279976484,90.9581383933,494.714825174
20140522,494.774536133,530.0,494.774536133,530.0,0.443920910472,228.049661481,514.378651387
20140523,530.0,548.054260254,515.311523438,521.468505859,0.259920056335,139.457745684,534.998349909
20140527,583.209899902,594.640991211,538.839904785,575.535400391,0.317402974787,181.545148895,572.129353602
20140528,576.565368652,589.159973145,565.215881348,575.832336426,0.217802256736,124.960702853,573.77104248
20140529,576.26171875,576.26171875,564.901550293,570.491821289,0.107905876366,61.4709032866,570.399052547
20140530,570.491821289,628.60534668,566.150085449,616.080200195,0.370886296842,222.071077015,602.651744609
20140602,633.749084473,672.639160156,621.792175293,660.0,0.323908257549,211.238409594,644.688690186
20140603,663.298828125,677.908996582,652.263061523,671.429382324,0.524428987164,349.443166516,665.753986904
20140604,665.496704102,665.496704102,525.0,650.476745605,1.47907720473,931.553400034,643.408758545
20140605,650.476745605,669.749938965,650.446716309,657.010009766,0.891986881794,584.72938675,656.584031049
20140606,657.010009766,660.0,653.402648926,653.402648926,0.338760589068,223.04992654,657.458702087
20140609,654.515258789,655.405944824,636.501098633,643.437988281,0.272905949079,175.986849757,648.077105354
20140610,643.437988281,657.715209961,643.437988281,646.889831543,0.648085815832,425.260578849,653.740450772
20140611,649.932434082,649.932434082,617.994506836,617.994506836,0.700134221004,445.722781328,638.587653024
20140612,630.344238281,637.062255859,552.0,571.135070801,0.931270239846,568.026307815,592.689583284
20140613,582.399963379,617.306030273,572.518188477,589.683837891,0.241355885131,142.663344364,592.056656087
20140616,589.484008789,612.911743164,574.175292969,597.137023926,0.300681483055,180.05471712,600.011720545
20140617,597.137023926,608.982543945,586.25,608.973999023,0.200126257946,119.833768886,598.5753479
20140618,609.203979492,625.0,603.409973145,605.889099121,0.357229633323,217.918223194,609.805616106
20140619,603.400024414,627.053955078,594.114990234,595.930603027,0.323307571655,196.443220703,608.617032565
20140620,595.802001953,602.794006348,578.507995605,593.903076172,0.252593601796,149.266515338,591.783041249
20140623,590.367004395,590.367004395,584.421508789,584.421508789,0.202701182176,119.533837034,589.232187124
20140624,590.202026367,595.227966309,576.129333496,586.153747559,0.167691388222,97.8070739017,586.796627269
20140625,575.0,575.0,557.432006836,564.424987793,0.789982035353,451.149915824,570.708190918
20140626,568.442993164,583.261779785,568.442993164,575.930419922,0.462260005375,266.130470276,575.201426188
20140627,585.518798828,600.0,575.349975586,597.692687988,0.8704966083,508.458305915,585.79902832
20140630,587.723999023,645.000854492,587.723999023,637.0,0.474422812948,296.088571917,625.320767212
20140701,644.900024414,657.833190918,634.164001465,640.0,0.472168999185,303.674785338,645.644149215
20140702,638.0,658.870483398,638.0,646.579711914,1.46020245366,947.259534864,647.158533433
20140703,644.502807617,655.081604004,638.889526367,647.523376465,0.832528181898,540.261049032,647.498565674
20140707,627.624023438,638.973022461,614.741210938,625.988586426,0.497404840583,310.335104323,625.311114971
20140708,620.750427246,626.874511719,614.741943359,617.03704834,0.0799277401982,49.5510479617,619.195885552
20140709,615.350463867,627.896362305,615.350463867,627.896362305,0.544178786998,341.4595143,623.346984863
20140710,632.108337402,632.108337402,614.472961426,614.472961426,0.0918136360124,57.1184710094,618.490356445
20140711,618.0,629.456115723,614.813415527,629.456115723,0.187924410682,117.521578908,624.135643005
20140714,629.950012207,632.670471191,618.143249512,626.233459473,0.122216685204,76.0320798481,625.879649769
20140715,620.026977539,620.026977539,620.026977539,620.026977539,0.180000007153,111.604858398,620.026977539
20140716,620.026977539,626.162780762,612.899414062,625.223999023,0.617265371498,381.292817011,617.204345703
20140717,625.223999023,630.00994873,610.347473145,624.979919434,0.0875508193871,53.984735239,617.527887518
20140718,624.559997559,629.0,615.170532227,625.999023438,1.36549674327,844.644261539,622.509094238
20140721,629.768737793,629.768737793,629.768737793,629.768737793,0.00063515000511,0.399997621775,629.768737793
20140722,618.688171387,618.688171387,618.688171387,618.688171387,1.40672774552,870.325860149,618.688171387
20140723,623.979980469,623.979980469,610.0,618.621459961,2.49860837621,1529.03668658,618.08968099
20140724,612.5,623.430786133,593.864501953,605.636474609,0.886163178366,540.106328869,608.181588745
20140725,600.0,623.22265625,593.800476074,596.08215332,0.377007870287,229.358917236,605.216491699
20140728,593.801025391,600.0,574.578613281,591.901245117,0.132023703771,77.6821646182,588.215430475
20140729,586.5,597.664672852,575.071105957,583.20904541,0.191306219647,112.131782319,586.464525495
20140730,577.441833496,588.980407715,566.751220703,566.751220703,0.507352231621,292.635306335,580.626809825
20140731,573.138061523,591.94921875,567.628173828,590.166809082,1.9439387599,1117.54027612,579.728239172
20140801,590.096984863,602.361450195,584.773742676,596.400024414,0.507636135832,301.283158064,594.741892497
20140804,579.329528809,596.245788574,579.329528809,596.245300293,0.822065680498,485.52547139,589.461425781
20140805,584.57434082,598.034057617,579.000183105,579.000183105,1.13029332692,672.546185315,584.719261169
20140807,584.267700195,593.0,577.238647461,580.583557129,1.40084553525,821.5045561,587.643508911
20140808,589.740905762,590.0,583.919067383,590.0,0.0474736650164,27.9920269648,589.151611328
20140811,589.613647461,595.364440918,572.765930176,572.765930176,0.0597392534005,35.0297624157,581.068603516
20140812,572.765930176,579.997680664,566.989990234,579.997680664,0.477389965323,272.475360036,571.471755981
20140813,571.701049805,571.701049805,531.636169434,535.080566406,0.241622867994,135.745201879,562.014109294
20140814,535.0,553.834106445,501.0,523.758728027,0.66308785486,340.889504631,518.431216558
20140815,525.0,530.0,501.0,530.0,0.630452616802,328.304874511,520.02324797
20140818,500.0,505.0,455.0,455.0,0.951655890234,457.304925696,485.507363892
20140819,479.99798584,500.5,460.299987793,474.020019531,1.27468509677,608.145541239,495.437616067
